"parameter","value"
"name","campylobacter"
"pathogen_profile_set","romania_eu_screening"
"pathogen_profile_id","romania_eu_campylobacter_screening"
"pathogen_profile_label","Romania/EU Campylobacter screening profile"
"pathogen_profile_region","Romania / Europe"
"pathogen_profile_country","RO"
"pathogen_profile_confidence","screening_requires_calibration"
"prevalence_rate","0.01"
"excretion_rate","1e+11"
"wwtp_primary_removal","0.5"
"wwtp_secondary_removal","0.99"
"units","CFU/L"
"pathogen_profile_prevalence_basis","European screening prevalence based on EU/EEA campylobacteriosis context; not a direct shedding prevalence."
"pathogen_profile_excretion_basis","CFU per infected person per year retained from legacy ePiE screening setup pending pathogen-specific calibration."
"pathogen_profile_prevalence_source_short","ECDC Campylobacteriosis AER; screening assumption"
"pathogen_profile_prevalence_source_url","https://www.ecdc.europa.eu/en/publications-data/campylobacteriosis-annual-epidemiological-report-2019"
"pathogen_profile_excretion_source_short","Legacy ePiE screening value; literature review required"
"pathogen_profile_excretion_source_url","https://www.ecdc.europa.eu/en/publications-data/campylobacteriosis-annual-epidemiological-report-2019"
"pathogen_profile_wwtp_source_short","Legacy ePiE screening WWTP removals"
"pathogen_profile_wwtp_source_url","https://www.ecdc.europa.eu/en/publications-data/campylobacteriosis-annual-epidemiological-report-2019"
"pathogen_profile_publication_year","2024"
"pathogen_profile_data_period","2019 EU/EEA surveillance report context"
"pathogen_profile_notes","Default Bega profile. ECDC data are reported cases, not direct shedding prevalence; calibrate if measured wastewater data exist."
