"parameter","value"
"name","cryptosporidium"
"pathogen_profile_set","romania_eu_screening"
"pathogen_profile_id","romania_eu_cryptosporidium_screening"
"pathogen_profile_label","Romania/EU Cryptosporidium screening profile"
"pathogen_profile_region","Romania / Europe"
"pathogen_profile_country","RO"
"pathogen_profile_confidence","screening_requires_calibration"
"prevalence_rate","0.005"
"excretion_rate","1e+08"
"wwtp_primary_removal","0.23"
"wwtp_secondary_removal","0.96"
"units","oocysts/L"
"pathogen_profile_prevalence_basis","European screening prevalence; Romania-specific monitoring confirms occurrence in western Romanian waters."
"pathogen_profile_excretion_basis","Oocysts per infected person per year from GloWPa-Crypto literature; applied as pathogen biology, not country-specific prevalence."
"pathogen_profile_prevalence_source_short","Imre et al. 2017; ECDC AER context"
"pathogen_profile_prevalence_source_url","https://pubmed.ncbi.nlm.nih.gov/28832257/"
"pathogen_profile_excretion_source_short","Vermeulen et al. 2019"
"pathogen_profile_excretion_source_url","https://pubmed.ncbi.nlm.nih.gov/30447525/"
"pathogen_profile_wwtp_source_short","Vermeulen et al. 2019 / WHO-style screening removals"
"pathogen_profile_wwtp_source_url","https://pubmed.ncbi.nlm.nih.gov/30447525/"
"pathogen_profile_publication_year","2017"
"pathogen_profile_data_period","2017 western Romania water occurrence context"
"pathogen_profile_notes","Default Bega profile. Lower European screening prevalence avoids reusing Ghana/SSA prevalence in Romania."
