"parameter","value"
"name","giardia"
"pathogen_profile_set","romania_eu_screening"
"pathogen_profile_id","romania_eu_giardia_screening"
"pathogen_profile_label","Romania/EU Giardia screening profile"
"pathogen_profile_region","Romania / Europe"
"pathogen_profile_country","RO"
"pathogen_profile_confidence","screening_requires_calibration"
"prevalence_rate","0.02"
"excretion_rate","1e+09"
"wwtp_primary_removal","0.3"
"wwtp_secondary_removal","0.95"
"units","cysts/L"
"pathogen_profile_prevalence_basis","Romania/EU screening prevalence; Romania has long-term giardiasis surveillance and western Romania water occurrence."
"pathogen_profile_excretion_basis","Cysts per infected person per year retained from legacy ePiE screening setup pending pathogen-specific calibration."
"pathogen_profile_prevalence_source_short","Imre et al. 2017; Romanian giardiasis context"
"pathogen_profile_prevalence_source_url","https://pubmed.ncbi.nlm.nih.gov/28832257/"
"pathogen_profile_excretion_source_short","Legacy ePiE screening value; literature review required"
"pathogen_profile_excretion_source_url","https://www.mdpi.com/2504-3900/2/11/690"
"pathogen_profile_wwtp_source_short","Legacy ePiE screening WWTP removals"
"pathogen_profile_wwtp_source_url","https://www.mdpi.com/2504-3900/2/11/690"
"pathogen_profile_publication_year","2017"
"pathogen_profile_data_period","2017 western Romania water occurrence context"
"pathogen_profile_notes","Default Bega profile. Romania occurrence literature supports presence; calibrate prevalence/excretion when possible."
