"parameter","value"
"name","campylobacter"
"pathogen_profile_set","ghana_ssa_screening"
"pathogen_profile_id","ghana_ssa_campylobacter_screening"
"pathogen_profile_label","Ghana/SSA Campylobacter screening profile"
"pathogen_profile_region","Ghana / Sub-Saharan Africa"
"pathogen_profile_country","GH"
"pathogen_profile_confidence","screening_requires_calibration"
"prevalence_rate","0.11"
"excretion_rate","1e+11"
"wwtp_primary_removal","0.5"
"wwtp_secondary_removal","0.99"
"units","CFU/L"
"pathogen_profile_prevalence_basis","Ghana/SSA screening prevalence; local surface-water occurrence confirms relevance but not infection prevalence."
"pathogen_profile_excretion_basis","CFU per infected person per year retained from legacy ePiE screening setup pending pathogen-specific calibration."
"pathogen_profile_prevalence_source_short","Karikari et al. 2016; screening assumption"
"pathogen_profile_prevalence_source_url","https://doi.org/10.5897/AJMR2016.8296"
"pathogen_profile_excretion_source_short","Legacy ePiE screening value; literature review required"
"pathogen_profile_excretion_source_url","https://www.ecdc.europa.eu/en/publications-data/campylobacteriosis-annual-epidemiological-report-2019"
"pathogen_profile_wwtp_source_short","Legacy ePiE screening WWTP removals"
"pathogen_profile_wwtp_source_url","https://www.ecdc.europa.eu/en/publications-data/campylobacteriosis-annual-epidemiological-report-2019"
"pathogen_profile_publication_year","2016"
"pathogen_profile_data_period","screening profile for Ghana/SSA case study"
"pathogen_profile_notes","Default Volta profile. Ghana water occurrence supports relevance; emission values still need calibration."
