"parameter","value"
"name","cryptosporidium"
"pathogen_profile_set","ghana_ssa_screening"
"pathogen_profile_id","ghana_ssa_cryptosporidium_screening"
"pathogen_profile_label","Ghana/SSA Cryptosporidium screening profile"
"pathogen_profile_region","Ghana / Sub-Saharan Africa"
"pathogen_profile_country","GH"
"pathogen_profile_confidence","literature_screening"
"prevalence_rate","0.05"
"excretion_rate","1e+08"
"wwtp_primary_removal","0.23"
"wwtp_secondary_removal","0.96"
"units","oocysts/L"
"pathogen_profile_prevalence_basis","Sub-Saharan Africa screening prevalence used by GloWPa-style human emission modelling."
"pathogen_profile_excretion_basis","Oocysts per infected person per year from GloWPa-Crypto literature."
"pathogen_profile_prevalence_source_short","Vermeulen et al. 2019; SSA burden context"
"pathogen_profile_prevalence_source_url","https://pubmed.ncbi.nlm.nih.gov/30447525/"
"pathogen_profile_excretion_source_short","Vermeulen et al. 2019"
"pathogen_profile_excretion_source_url","https://pubmed.ncbi.nlm.nih.gov/30447525/"
"pathogen_profile_wwtp_source_short","Vermeulen et al. 2019 / WHO-style screening removals"
"pathogen_profile_wwtp_source_url","https://pubmed.ncbi.nlm.nih.gov/30447525/"
"pathogen_profile_publication_year","2019"
"pathogen_profile_data_period","screening profile for Ghana/SSA case study"
"pathogen_profile_notes","Default Volta profile. Use local measured prevalence/excretion if available."
